smiles,score
[N+](=O)(c1ccc(C(=O)N2CCN(Cc3cc(ccc3)C)CC2)cc1)[O-],-8.5
N1(C(=O)Nc2c(Cl)cccc2C)C(C(=O)N(CC1)Cc1ccccc1)C,-7.8
C(=O)(NCC(CC)C)C(Oc1c(cc(cc1)Cl)Cl)C,-6.5
C(=O)(Nc1ccc(C(=O)OC)cc1)CN1CCNCC1,-7.0
c1(nc2c(o1)cccc2)N1CCN(Cc2c(c(c(cc2)OC)OC)OC)CC1,-7.0
C1(C2c3c(C(c4c2cccc4)C1)cccc3)(C(=O)Nc1cc(cc(c1)C)C)C,-9.1
N1(C(CC(=N1)c1ccc(cc1)F)(C(F)(F)F)O)C(=O)c1cc(ccc1)C,-8.3
c1(noc(c1)c1ccccc1)C(=O)N1CC(c2ncc[nH]2)CCC1,-9.0
n1c(onc1CNC(=O)c1cnc(NCC(O)CO)cc1)C(C)C,-7.5
n1c(onc1C)CN(C(=O)C(N1CCCCC1)c1ccc(cc1)F)CC,-7.9
c1(c(c2c(s1)cccc2)Cl)CN(C(=O)C1CCN(CC(=O)N)CC1)C,-7.7
N1(N=C(CC1c1occc1)c1cc(OC)ccc1)S(=O)(=O)C,-7.4
c1(nc2c([nH]1)cccc2)SCc1nc2c([nH]1)ccc([N+](=O)[O-])c2,-8.2
N1(C(=O)CCC2(C1)CN(Cc1c(O)cccc1)CCC2)Cc1ccncc1,-7.7
S1(=O)(=O)CCN(C(=O)CCc2n(ncc2)C)CC1,-6.6
S(=O)(=O)(Nc1ccc(C(=O)NCCCc2cc(ccc2)C)cc1)C,-8.4
C(=O)(Nc1cc(C(=O)N2CCCC2)ccc1)C(c1ccccc1)c1ccccc1,-7.9
C1(=O)N(CC(=O)N2CC(c3ccc(cc3)F)OCC2)CC2(O1)CCNCC2,-7.9
c12C(=O)c3c(C(=O)c1cccc2Nc1cc(c(cc1OC)C=O)OC)cccc3,-8.1
C1(=C(NC2=C(C1c1ccc(cc1)OCC)C(=O)CC(C2)(C)C)C)C(=O)OC1CCCC1,-7.2
c1(cc(ccc1OCCCC(=O)NC1CCCCC1)Cl)Cl,-7.5
C(=O)(N[C@@H]1[C@H](COC1)OCC)Nc1cc(Cl)ccc1,-6.9
C(=O)(N1C(C(=O)NCC1)CC)c1c(nc(nc1)Cc1c(Cl)cccc1Cl)O,-8.1
C\1(=C/2\SC(=CS2)C(=O)OCC)/c2c(NC(C1=S)(C)C)c(OCC)ccc2,-7.5
c1(c(=O)[nH]c(nc1C)CC)CC(=O)NC1c2c(cc(cc2)OC)CCC1,-8.0
n1nn(cn1)Cc1ccc(C(=O)N2CCN(c3ncccc3C)CC2)cc1,-8.5
c1(n(ncc1)C(C)C)NC(=O)NCC1ON=C(C1)CC,-7.1
n1(nnnc1)c1cc(Cn2nnnc2)ccc1,-7.6
S(=O)(=O)(N(c1ccc(C(=O)Nc2cc(c(cc2)OC)OC)cc1)C)C,-8.2
C(=O)(N([C@H]1[C@H](O)CCCC1)CCC)Nc1cc(cc(c1)C)F,-6.9
n1(c2nnc(Nc3ccc(NC(=O)c4cc(OC)ccc4)cc3)cc2)nccc1,-8.0
c1(nc(sc1)CCC)C(=O)N1CCS(=O)(=O)CC1,-7.1
C1(=C(NC2=C(C1c1cc([N+](=O)[O-])ccc1)C(=O)CC(C2)c1ccccc1)C)C(=O)OC,-7.7
c1(n(c(nn1)CO)CC)[C@H]1C[C@@H](NC(=O)CCc2n[nH]c3c2CCCC3)C1,-8.3
n1c(onc1CCc1ccccc1)c1cnc(N2CC(CO)CCC2)cc1,-8.4
N1(C(=O)CC(C1)CNC(=O)Cc1nc(sc1)SCC)C1CCCC1,-6.9
n1(nc(c(cc1=O)C)C)CC(=O)N1CCC(CC1)OCc1ccccc1,-8.5
c1(n[nH]c(c1)C)C(=O)N1CC(CCC(=O)Nc2cc(c(cc2)OC)Cl)CCC1,-7.5
n1c(c2c(nc1c1ccncc1)CN(C(=O)C)CC2)NCC1(CCC1)CC,-7.2
n1(c(=O)c2c(nc1/C=C/c1c(n(c3c1cccc3)C)C)cccc2)c1ccc([N+](=O)[O-])cc1,-9.8
[N+](=O)(c1cc(ccc1NCCNC(=O)c1ccc(cc1)C)Cl)[O-],-8.7
[N+](=O)(c1c(N/N=C/c2c3c(ccc2OC)cccc3)cccc1)[O-],-7.1
N1(N=C(CC1c1ccc(cc1)Cl)c1ccccc1)c1ccc(/C=N/Nc2ccccc2)cc1,-7.8
C(=S)(NC1CC(NC(C1)(C)C)(C)C)Nc1ccc(cc1)OC,-7.2
c1(n(c2c(c1)cc(cc2)OC)C)C(=O)NC1CC(=O)N(c2cc(ccc2)C)C1,-7.9
c12c(cc(s2)C(=O)NC(=S)NCCc2ccccc2)c(nn1c1ccccc1)C,-7.3
n1c2n(cc1CNC(=O)N1CCC(C(c3sccc3)O)CC1)cccc2,-7.7
N(CC(COc1c(cc(cc1)CNCCN(CC)CC)OC)O)(C(C)C)C,-5.5
N1([C@H]2[C@H](CN(c3nc(ccn3)C)CC2)CCC1=O)CCCSC,-7.1
n1(c(nnc1SCc1cc(c(cc1)Cl)Cl)C(NC(=O)c1ccc(cc1)OC)C)C,-8.9
C(=C\c1ccc(cc1)OC)(\C(=O)NC(C(=O)O)C)/NC(=O)c1occc1,-7.4
S(=O)(=O)(c1ccc(NC(=O)N2C[C@@H]3C(=O)N([C@H](C2)CC3)C)cc1)N,-7.9
c1(oc(cc1)C)CN1CC(CCC(=O)Nc2c(F)cccc2)CCC1,-7.8
c12c(CN(Cc3cc(no3)c3cnccc3)C)cccc1non2,-8.2
n12c(cnn2)CO[C@@H]2[C@@H]1CCN(C(=O)Nc1cc(F)ccc1)C2,-7.8
C(=O)(c1cc(I)ccc1)N/N=C/c1cc(ccc1)C,-7.3
c1(nc2c([nH]1)CCNC2)c1c(F)cccc1OC,-7.1
N(C(=S)Nc1cc(ccc1)C)C(=O)c1cc(Cl)ccc1,-8.1
c1(c(=O)oc2c(c1)cc(cc2)Cl)C(=O)NCC(=O)OC,-8.0
C(=O)(Nc1cc(F)ccc1)c1ccccc1,-7.4
c1(n(c(nn1)C1CN(C(=O)CCn2nnnc2)CCC1)C)Cn1nccc1,-8.6
N(C(=S)Nc1cc(cc(c1)Cl)Cl)C(=O)c1cc(F)ccc1,-7.9
S(=O)(=O)(NCC(F)F)c1ccc(C(=O)NCCCSC)cc1,-6.6
n1n(c(=O)c2c(n1)cccc2)CCCn1cncc1,-7.2
N1(C(=O)NCC1=O)CC(=O)NC1c2nc(sc2CCC1)C,-7.4
C(=O)(N1CCN(c2ccc(NC(=O)c3cc(cc(c3)OC)OC)cc2)CC1)c1c(C)cccc1,-5.0
N1(c2c(C)cccc2)CCN(Cc2ccc(cc2)C)CC1,-7.4
C(=O)(Nc1ccc(SCCCC)cc1)COc1c(C)cccc1,-6.3
c1(nc(c2cc(c(c(c2)OC)OC)OC)cnn1)NC(C(O)(CC=C)CC=C)C,-7.2
