rcpt,model,dataset,pcc,rmse
ampc,model1,C1,0.78,0.47
ampc,model1,V1,0.49,0.79
ampc,model2,C1,0.81,0.49
ampc,model2,V1,0.72,0.72
ampc,model2,V2,0.69,0.67
d4,model1,C1,0.89,0.52
d4,model1,V1,0.55,1.27
d4,model2,C1,0.88,0.61
d4,model2,V1,0.69,1.28
d4,model2,V2,0.71,1.02
parp1,model1,C1,0.91,0.41
parp1,model1,V1,0.69,0.89
parp1,model2,C1,0.92,0.42
parp1,model2,V1,0.86,0.64
parp1,model2,V2,0.84,0.7
jak2,model1,C1,0.84,0.66
jak2,model1,V1,0.64,1.37
jak2,model2,C1,0.86,0.65
jak2,model2,V1,0.77,1.25
jak2,model2,V2,0.72,1.3
egfr,model1,C1,0.81,0.65
egfr,model1,V1,0.44,1.31
egfr,model2,C1,0.86,0.56
egfr,model2,V1,0.64,1.34
egfr,model2,V2,0.65,1.09
pkm2,model1,C1,0.81,1.02
pkm2,model1,V1,0.65,1.69
pkm2,model2,C1,0.83,1.08
pkm2,model2,V1,0.78,1.6
pkm2,model2,V2,0.73,1.52
aldh1,model1,C1,0.87,0.48
aldh1,model1,V1,0.61,0.97
aldh1,model2,C1,0.89,0.54
aldh1,model2,V1,0.77,0.91
aldh1,model2,V2,0.74,0.89
mapk1,model1,C1,0.89,0.38
mapk1,model1,V1,0.61,0.69
mapk1,model2,C1,0.9,0.4
mapk1,model2,V1,0.77,0.66
mapk1,model2,V2,0.69,0.67
