molecule_id	affinity	steric_sum	hydrophobic_value	hydrogen_value	wnrot
aldh1_round2_gen5534	-14.23845	-12.726457818109997	-4.006749328390001	-0.0	0.17400000000000002
aldh1_round2_gen2889	-15.76155	-13.41766245609	-4.18534241917	-0.0	0.116
aldh1_round2_gen23869	-13.68849	-11.68063346684	-3.4759193440200002	-0.13254973596000003	0.116
aldh1_round2_gen8073	-13.83498	-13.74371549396	-4.13364790765	-0.0	0.29000000000000004
aldh1_round2_gen122990	-13.8428	-10.823972207659999	-4.6036366839200005	-0.036491710680000004	0.116
aldh1_round2_gen372	-15.19571	-11.55946819782	-3.6350189804600004	-0.0	0.0
aldh1_round2_gen7682	-13.57751	-11.658058205870002	-3.5070497446300006	-0.0	0.116
aldh1_round2_gen9333	-12.1123	-10.55605891209	-3.3559879229900003	-0.32827266198	0.17400000000000002
aldh1_round2_gen3252	-16.16029	-13.894408926050001	-5.10478321462	-0.0	0.17400000000000002
aldh1_round2_gen798618	-14.45546	-13.23384637509	-3.7528083869700004	-0.0	0.17400000000000002
aldh1_round2_gen24996	-14.05098	-13.587397532499999	-4.571968324850001	-0.0	0.29000000000000004
aldh1_round2_gen2080	-13.68122	-11.967557623630002	-4.11659525571	-0.0	0.17400000000000002
aldh1_round2_gen12623	-14.68941	-13.454799786199999	-4.25429719111	-1.27935402615	0.29000000000000004
aldh1_round2_gen4259	-13.49828	-11.16614798346	-3.9110319997900005	-0.0	0.116
aldh1_round2_gen42373	-13.78671	-11.790390766689999	-4.5893201153600005	-0.22417259679	0.232
aldh1_round2_gen799982	-15.09989	-12.84522539571	-4.90069425946	-0.0	0.17400000000000002
aldh1_round2_gen5244	-14.55779	-11.75969171603	-3.6159512637800004	-0.03687354603000001	0.058
aldh1_round2_gen794491	-13.95231	-12.12017059811	-4.15201915399	-0.12871963368000003	0.17400000000000002
aldh1_round2_gen796033	-14.74812	-11.94950116057	-4.51761347899	-0.0	0.116
aldh1_round2_gen6395	-13.77146	-12.71946114518	-3.4693554792900003	-0.0	0.17400000000000002
aldh1_round2_gen796910	-13.94016	-12.438681999500002	-3.9441241602600003	-0.0	0.17400000000000002
aldh1_round2_gen9654	-14.5511	-11.77120041829	-4.310488249810001	-0.16994022831	0.116
aldh1_round2_gen6126	-13.87217	-11.60517013386	-3.988537646	-0.7112828899800001	0.17400000000000002
aldh1_round2_gen9892	-14.89215	-13.01397289154	-4.487084862420001	-0.0	0.17400000000000002
aldh1_round2_gen49773	-14.44227	-12.81049464316	-4.76821550092	-0.24734119095	0.232
aldh1_round2_gen3394	-15.29802	-12.83558688741	-4.25633014104	-0.0	0.116
aldh1_round2_gen30918	-13.73297	-13.072364543859997	-3.4909621915700004	-0.38067809517	0.232
aldh1_round2_gen2282	-15.96095	-13.8928663326	-4.858811703450001	-0.0	0.17400000000000002
aldh1_round2_gen798350	-14.19089	-11.93588315074	-4.744831842410001	-0.0	0.17400000000000002
aldh1_round2_gen185140	-15.19393	-11.98359728279	-4.10224116332	-0.0	0.232
aldh1_round2_gen37201	-13.59231	-12.1077314008	-3.07497020667	-0.0	0.116
aldh1_round2_gen7105	-15.01637	-13.972078603149999	-3.6801475231100005	-0.0	0.17400000000000002
aldh1_round2_gen5933	-14.13178	-12.246141787129998	-3.5294591863200004	-0.0	0.116
aldh1_round2_gen797239	-14.80067	-12.522935876240002	-4.8688477498700005	-0.0	0.17400000000000002
aldh1_round2_gen787377	-13.81421	-13.664929291490001	-4.991445466970001	-0.0	0.34800000000000003
aldh1_round2_gen797960	-15.51893	-12.8529460461	-4.47770916527	-0.0	0.116
aldh1_round2_gen8321	-14.18369	-10.59821860174	-3.56357606297	-0.8554932900900001	0.058
aldh1_round2_gen61623	-13.53568	-12.113863274979998	-3.7915059764000003	-0.0	0.17400000000000002
aldh1_round2_gen15761	-14.58706	-11.93000465013	-4.00822012225	-1.2097190070900001	0.17400000000000002
aldh1_round2_gen2581	-14.89566	-12.217418049639999	-4.422607349710001	-0.0	0.116
aldh1_round2_gen4078	-14.07451	-12.49937698776	-4.0415714426300005	-0.0	0.17400000000000002
aldh1_round2_gen6425	-14.66502	-11.12060811928	-3.79947961493	-1.45584419931	0.116
aldh1_round2_gen798583	-13.7621	-11.964841051019999	-3.80333650355	-0.8098727773500001	0.232
aldh1_round2_gen794289	-14.32072	-11.918309375389999	-4.67084537035	-0.24289427772000002	0.17400000000000002
aldh1_round2_gen1995	-13.73343	-9.651320469209999	-4.0785050613600005	-0.0	0.0
aldh1_round2_gen795662	-13.81867	-11.817878945179999	-4.4178803992	-0.0	0.17400000000000002
aldh1_round2_gen3624	-14.33143	-13.06987116184	-3.7785016898200006	-0.0	0.17400000000000002
aldh1_round2_gen797855	-15.85495	-13.99886348363	-4.63881720334	-0.0	0.17400000000000002
aldh1_round2_gen797301	-13.65955	-9.676971332289998	-3.98428447768	-0.0	0.0
aldh1_round2_gen798939	-13.86808	-12.68605398551	-3.6170454165800003	-0.0	0.17400000000000002
aldh1_round2_gen797005	-14.32485	-11.58665336477	-3.6434586860000007	-0.7660204560000001	0.116
aldh1_round2_gen3113	-14.1058	-12.69870516558	-3.8799952334100003	-0.0	0.17400000000000002
aldh1_round2_gen10658	-14.91246	-13.12412656467	-4.02129033855	-0.37750592457000004	0.17400000000000002
aldh1_round2_gen795670	-14.09461	-13.271866821480002	-3.20078340038	-0.09027762552000002	0.17400000000000002
aldh1_round2_gen4061	-14.22375	-11.77570817115	-4.10752220403	-0.0	0.116
aldh1_round2_gen18093	-13.6001	-11.56102599425	-4.42870584881	-0.0	0.17400000000000002
aldh1_round2_gen3212	-15.32715	-14.140323008089998	-4.3242461692	-0.0	0.232
aldh1_round2_gen3007	-14.82476	-12.38714547583	-4.17123591392	-0.0	0.116
aldh1_round2_gen800016	-13.53626	-11.85243531498	-3.2720674553000006	-0.0	0.116
aldh1_round2_gen13733	-13.78679	-12.2379384398	-4.76889338469	-0.0	0.232
aldh1_round2_gen673	-14.67494	-10.76194182677	-3.9120318169800004	-0.0	0.0
aldh1_round2_gen11772	-14.51358	-13.18268620971	-3.87500631747	-0.0	0.17400000000000002
aldh1_round2_gen4325	-15.46138	-12.79919880026	-4.864716270980001	-0.51110717634	0.17400000000000002
aldh1_round2_gen13258	-14.17521	-13.245926571649997	-4.246115593410001	-0.0	0.232
