molecule_id	affinity	steric_sum	hydrophobic_value	hydrogen_value	wnrot
parp1_round2_gen13097	-15.24997	-13.34658863136	-4.58134577545	-0.0	0.17400000000000002
parp1_round2_gen348750	-15.64648	-13.107460978149998	-4.36416030224	-0.0	0.5800000000000001
parp1_round2_gen796337	-16.18	-13.416137485019998	-4.1839656102300005	-0.0	0.17400000000000002
parp1_round2_gen3082	-15.47102	-13.785431003779998	-3.9771300509900005	-0.42687429813000005	0.17400000000000002
parp1_round2_gen797414	-14.88651	-13.15265692432	-4.3490048832	-0.0	0.17400000000000002
parp1_round2_gen1044	-15.71504	-13.50325624244	-4.968710935650001	-0.0	0.17400000000000002
parp1_round2_gen7593	-15.01811	-13.229562086680001	-4.42595643921	-0.0	0.17400000000000002
parp1_round2_gen5843	-15.04195	-14.56254794222	-4.876429316980001	-0.0	0.29000000000000004
parp1_round2_gen135024	-15.04393	-12.33448510035	-2.49964327234	-0.20792403405	0.6960000000000001
parp1_round2_gen790131	-14.96768	-14.00318644947	-4.467430792060001	-0.0	0.232
parp1_round2_gen797104	-15.66821	-13.52657906209	-4.49949753497	-0.39104639352000004	0.17400000000000002
parp1_round2_gen429278	-15.62451	-12.57522056193	-3.8329059829700003	-0.13394784078000002	0.522
parp1_round2_gen147230	-15.49424	-13.99596442008	-4.21494135655	-0.0	0.17400000000000002
parp1_round2_gen796461	-14.99683	-12.957753826109998	-4.668636724730001	-0.0	0.17400000000000002
parp1_round2_gen84913	-15.42044	-13.582419528660001	-4.543575410380001	-0.0	0.17400000000000002
parp1_round2_gen5819	-15.27853	-13.322257177450002	-4.633601741660001	-0.0	0.17400000000000002
parp1_round2_gen794919	-14.95443	-13.174447785399998	-4.40310618019	-0.0	0.17400000000000002
parp1_round2_gen798411	-15.06028	-12.825420978650001	-4.38897407457	-0.49121649180000004	0.17400000000000002
parp1_round2_gen27762	-15.55065	-12.989018092919999	-4.857638294710001	-0.43140345282000003	0.17400000000000002
parp1_round2_gen796021	-15.87078	-13.34295954254	-5.3124299198300005	-0.0	0.17400000000000002
parp1_round2_gen2557	-16.04557	-13.08221709869	-4.303831452230001	-0.5383467227700001	0.116
parp1_round2_gen799230	-16.84458	-13.45995484591	-3.87841782979	-0.0	0.17400000000000002
parp1_round2_gen61362	-15.05914	-11.28305861698	-3.7808481566100003	-0.0	0.17400000000000002
parp1_round2_gen795984	-14.95724	-12.741085008750002	-4.840009459100001	-0.0	0.17400000000000002
parp1_round2_gen2670	-15.51531	-13.17837146396	-4.04031211484	-0.11364007455000001	0.116
parp1_round2_gen795868	-15.15194	-13.314488378159998	-4.490195482720001	-0.0	0.17400000000000002
parp1_round2_gen2773	-15.20228	-13.38951721945	-4.481746659240001	-0.0	0.17400000000000002
parp1_round2_gen4359	-16.30478	-14.18932515052	-4.97345577135	-0.0	0.17400000000000002
parp1_round2_gen156824	-15.50092	-14.085262498689998	-5.04059677461	-0.0	0.232
parp1_round2_gen673946	-15.36177	-12.72571068242	-2.6348409304500002	-0.0	0.17400000000000002
parp1_round2_gen807	-15.00683	-13.10943182277	-4.375473561640001	-0.15578294841	0.17400000000000002
parp1_round2_gen786418	-15.74272	-14.32043919136	-2.3331230355000003	-0.0077483204100000005	0.5800000000000001
