molecule_id	affinity	steric_sum	hydrophobic_value	hydrogen_value	wnrot
d4_round2_gen702171	-14.88345	-12.22664155475	-2.6591339281300006	-0.0	0.232
d4_round2_gen25273	-14.94343	-13.33299923306	-3.0728530911400003	-2.03977031409	0.232
d4_round2_gen98653	-15.18253	-14.540111451990002	-3.6292062937100003	-0.55919493288	0.232
d4_round2_gen6965	-15.26693	-15.138305665059999	-5.34483402652	-0.13699664919	0.34800000000000003
d4_round2_gen38271	-15.66296	-15.49863876289	-3.7058040035100004	-1.0343625912	0.29000000000000004
d4_round2_gen68655	-14.81694	-15.554795837299999	-4.103134020060001	-0.34792249653	0.34800000000000003
d4_round2_gen18251	-15.35515	-14.996948225300002	-3.7735762487700004	-1.9759333179600003	0.34800000000000003
d4_round2_gen4463	-14.8668	-14.4414332265	-4.75943773022	-1.31448875274	0.406
d4_round2_gen16604	-14.91022	-13.957869699349999	-4.14787645302	-0.30071589849	0.232
d4_round2_gen798637	-14.76877	-12.82790799264	-3.9957650162100005	-1.8299018569500003	0.29000000000000004
d4_round2_gen783814	-14.87179	-15.846480873059999	-4.092867921000001	-0.14915663649000002	0.34800000000000003
d4_round2_gen19686	-14.84607	-14.200912137999998	-4.6082033691	-0.37205449065	0.29000000000000004
d4_round2_gen39717	-15.02945	-15.36465781307	-4.072053768120001	-0.85980509235	0.34800000000000003
d4_round2_gen52725	-15.12727	-15.192258035450003	-3.53151984076	-1.71328346667	0.34800000000000003
d4_round2_gen142438	-15.00398	-12.172926479110002	-2.30651513313	-1.4062937196600003	0.406
d4_round2_gen303537	-15.11823	-14.354548614640002	-3.8812251032400003	-0.41691133269	0.232
d4_round2_gen43460	-15.19885	-15.0953775353	-5.3077566248900006	-0.12393788022	0.34800000000000003
d4_round2_gen54934	-15.1466	-15.04668887015	-4.80751206887	-1.4883648223500001	0.406
d4_round2_gen793263	-14.84137	-12.575798703259998	-3.9794400460200006	-1.7545216844700002	0.232
d4_round2_gen176482	-15.40515	-14.15597079601	-3.94514116126	-0.0	0.17400000000000002
d4_round2_gen14053	-14.66592	-14.449653354999999	-4.27526705035	-1.08350773794	0.34800000000000003
d4_round2_gen798323	-14.84043	-14.000106781020001	-4.64565881455	-2.25894967938	0.406
d4_round2_gen24906	-15.5678	-16.637856522729997	-3.9977408036700006	-0.39303193734	0.34800000000000003
d4_round2_gen380848	-14.92991	-14.681455892190002	-2.4986083861500004	-0.36952262856000007	0.406
d4_round2_gen793161	-14.92632	-13.13058375827	-3.7465671570400003	-1.5405940238400002	0.232
d4_round2_gen740	-14.79686	-14.84601720892	-4.079147525440001	-1.05590397933	0.34800000000000003
d4_round2_gen39746	-14.81976	-13.07983489713	-3.58507756825	-1.6195575742200001	0.232
d4_round2_gen8017	-15.08095	-13.395154556489999	-5.2191593553599995	-0.0	0.232
d4_round2_gen76682	-15.07947	-14.63735033487	-4.1366164985000005	-0.72058204935	0.29000000000000004
d4_round2_gen461186	-14.78167	-13.301749519860003	-2.46103300472	-0.31470869547	0.464
d4_round2_gen73453	-14.82623	-16.349227814629998	-4.13446256052	-0.41093707806000007	0.406
d4_round2_gen14280	-14.90747	-15.5302452517	-3.9286643423000007	-0.6765828682500001	0.34800000000000003
d4_round2_gen48989	-14.96224	-13.369573367440001	-4.72371329061	-0.36442365804000004	0.232
d4_round2_gen234081	-14.85925	-14.501481678089998	-4.21811194484	-0.90946131102	0.34800000000000003
d4_round2_gen8191	-15.04175	-14.011653345009998	-4.546071271110001	-0.0	0.232
d4_round2_gen164607	-14.85159	-13.79108252619	-3.99530140403	-0.53790026913	0.232
d4_round2_gen585897	-15.1624	-11.68290305507	-2.97889552496	-0.50167878039	0.522
d4_round2_gen661583	-18.21282	-15.50172345736	-3.6586761771700003	-0.11615431347	0.232
d4_round2_gen37489	-14.64783	-12.5002099137	-4.15863457015	-0.5582844024300001	0.17400000000000002
d4_round2_gen794783	-14.79988	-13.403699783919997	-3.9939621189200003	-0.8670482152200001	0.232
d4_round2_gen594	-15.07951	-12.71413313878	-4.18081571265	-0.8279012802600001	0.17400000000000002
d4_round2_gen10273	-14.83042	-14.654833597599998	-4.15865455948	-0.3500549001	0.29000000000000004
d4_round2_gen59917	-14.81585	-13.021629357650001	-2.7003761242000004	-0.82502282916	0.116
d4_round2_gen10102	-15.83601	-14.90875515999	-4.54494660828	-1.0176088309200002	0.29000000000000004
d4_round2_gen8980	-15.04128	-13.911957469	-3.8882992219200005	-0.7575378368400001	0.232
d4_round2_gen57672	-15.00902	-13.490121295669999	-2.39601297458	-0.0	0.522
d4_round2_gen21258	-14.89262	-14.508914276569998	-4.41106053077	-0.3310806204	0.406
d4_round2_gen30946	-15.04964	-14.091414018509997	-1.75627831485	-0.07616146635	0.406
d4_round2_gen42621	-14.93865	-14.423390967010002	-4.3941060720300005	-0.49122824058000003	0.29000000000000004
d4_round2_gen6303	-15.63907	-14.684236356469999	-4.1024712159600005	-0.51753963339	0.232
d4_round2_gen7348	-16.02452	-14.77544347358	-4.0740418297300005	-0.9254866469400002	0.232
d4_round2_gen562972	-14.83257	-14.17973266051	-2.3842105026300002	-0.0	0.464
d4_round2_gen4161	-15.04903	-14.546566614069999	-4.4126407399100005	-0.48653460297000006	0.29000000000000004
d4_round2_gen136237	-17.23425	-15.871371919710002	-5.386285935210001	-0.0	0.232
d4_round2_gen108238	-15.28321	-15.50550429803	-4.54052160186	-0.6031588676399999	0.34800000000000003
d4_round2_gen33102	-14.81356	-13.575056873449999	-3.83573114161	-0.0	0.17400000000000002
d4_round2_gen241078	-14.91056	-15.62195346965	-4.5237863243700005	-0.0	0.34800000000000003
d4_round2_gen444659	-15.39582	-11.2416747633	-3.66011260341	-0.49450027581000006	0.522
d4_round2_gen799688	-14.78531	-14.972893200489997	-4.45835142796	-0.5415600141000001	0.34800000000000003
d4_round2_gen82987	-14.84493	-13.64185248793	-4.270441205260001	-0.40477484295000005	0.232
d4_round2_gen177844	-15.77663	-13.854013373819999	-4.51429174331	-1.1063826126	0.232
d4_round2_gen145728	-14.98543	-14.282357745220002	-2.7839665926000006	-1.4223719250900002	0.232
d4_round2_gen95563	-14.90731	-14.82263089725	-4.16099260971	-0.28063723347	0.29000000000000004
d4_round2_gen36152	-15.09879	-14.151218321320002	-4.4762913256	-0.0	0.232
d4_round2_gen799218	-14.76928	-13.27095745202	-4.031728275710001	-0.92593310058	0.232
d4_round2_gen67336	-14.97598	-15.56557215116	-3.7901351291900003	-0.0	0.29000000000000004
d4_round2_gen245360	-14.78115	-14.78272587807	-4.81487059714	-0.3726125577	0.34800000000000003
d4_round2_gen649	-14.76594	-13.842773951560002	-4.11357862033	-0.26347814028	0.232
d4_round2_gen6967	-14.88751	-14.662866465450001	-3.9062373661100005	-0.6661910723400001	0.29000000000000004
d4_round2_gen18218	-14.93677	-14.73741755026	-4.33704389937	-1.10897909298	0.34800000000000003
d4_round2_gen42893	-15.71574	-15.07424685645	-4.3267914772200005	-0.90836867448	0.29000000000000004
d4_round2_gen26290	-15.00463	-13.731665243420002	-3.74051109143	-1.04481313101	0.232
d4_round2_gen53	-14.94541	-15.872472375600001	-3.3956990065200006	-0.92469360429	0.34800000000000003
d4_round2_gen3461	-14.75865	-14.79756871691	-3.8774723695500004	-0.39488237019	0.29000000000000004
d4_round2_gen535563	-15.59388	-15.389583474130003	-2.49056706445	-0.0	0.638
d4_round2_gen48056	-14.91217	-12.617907234089998	-4.03260605278	-0.0	0.116
d4_round2_gen10888	-14.99168	-15.13887703288	-4.03577944659	-1.07760985038	0.34800000000000003
d4_round2_gen28017	-14.72121	-13.68045627719	-4.07950452786	-0.39912367977	0.232
d4_round2_gen14985	-14.88202	-13.92706027042	-4.02022038336	-1.2908325842100001	0.29000000000000004
d4_round2_gen5287	-15.16258	-12.845294086020001	-4.17167953677	-1.68833493234	0.232
d4_round2_gen610362	-15.14329	-13.731032667999997	-3.30556571479	-0.7605866452500001	0.17400000000000002
d4_round2_gen102029	-15.78985	-12.77346728062	-2.5728757609	-0.43425840636	0.406
d4_round2_gen43130	-14.79231	-14.554577368070001	-3.5686302072500005	-1.86420829455	0.34800000000000003
d4_round2_gen201956	-15.13254	-12.84005453704	-3.65422031003	-0.4113835317	0.116
d4_round2_gen7695	-14.80228	-14.729496719110001	-3.9545200146200004	-0.44499679128	0.29000000000000004
d4_round2_gen2622	-14.9437	-12.47425534637	-4.195202769900001	-1.7614064695500002	0.232
d4_round2_gen87033	-15.04988	-13.907637618729998	-4.63752666414	-0.90413323929	0.29000000000000004
d4_round2_gen157213	-15.57266	-12.776860459989999	-3.4966644109700002	-1.1161810951200002	0.116
d4_round2_gen42284	-14.75204	-13.879596444179999	-3.55061982092	-0.7811822565900001	0.232
d4_round2_gen3326	-14.96675	-13.899435361770001	-3.6404322313	-1.80136407033	0.29000000000000004
d4_round2_gen171547	-14.84615	-12.813971494280002	-2.69767195361	-1.0695913080300001	0.754
d4_round2_gen37386	-15.00476	-15.709809224840003	-3.3069793461800003	-1.6950552345	0.406
d4_round2_gen13110	-15.39508	-15.2495368994	-4.647896918130001	-0.0	0.29000000000000004
d4_round2_gen12720	-14.7549	-13.521430034109999	-4.34098074531	-0.34109645535000005	0.232
d4_round2_gen2343	-14.79868	-14.304490388689999	-4.31008600838	-1.3674698761500002	0.34800000000000003
