molecule_id	affinity	steric_sum	hydrophobic_value	hydrogen_value	wnrot
mapk1_round2_gen60614	-10.86945	-11.21987671631	-2.19138571027	-0.0	0.232
mapk1_round2_gen24131	-11.19346	-8.24806618257	-1.6990983103500001	-1.24595224461	0.0
mapk1_round2_gen285601	-11.21157	-8.657672035940001	-1.4872170233900002	-2.38599511191	0.464
mapk1_round2_gen16109	-11.10981	-9.06944627623	-1.9925700806400002	-1.9953599256900003	0.17400000000000002
mapk1_round2_gen40321	-13.29763	-10.64693172627	-1.0153229483500001	-2.4127118376300003	0.17400000000000002
mapk1_round2_gen430	-13.05586	-8.673290457459998	-1.14643927624	-3.23940886794	0.0
mapk1_round2_gen17143	-10.74813	-11.089779465889999	-2.03043653477	-1.39984951383	0.34800000000000003
mapk1_round2_gen799400	-12.12555	-9.012301065559999	-1.27845231846	-1.83561763842	0.058
mapk1_round2_gen10131	-10.8762	-7.9255542523799996	-1.73893634366	-1.84620916359	0.058
mapk1_round2_gen310	-11.81491	-9.11924094997	-0.6430855026800001	-2.05388059887	0.0
mapk1_round2_gen11938	-10.92604	-7.825169047560001	-1.13360402224	-2.6114835720600005	0.058
mapk1_round2_gen797557	-11.98753	-8.118340212249999	-1.8680407630200002	-1.99991845233	0.058
mapk1_round2_gen34753	-10.76547	-9.814640141249999	-1.9719617827900002	-0.8673301859400001	0.17400000000000002
mapk1_round2_gen3798	-11.39164	-8.52964167046	-0.9727986296400001	-1.89053143614	0.0
mapk1_round2_gen231170	-10.74848	-9.85980663093	-2.80418071489	-0.59816563614	0.232
mapk1_round2_gen11670	-10.47636	-8.961290340229999	-1.7083281204600003	-1.03296448638	0.116
mapk1_round2_gen118891	-11.10677	-9.79805023165	-0.9227976001300001	-2.3295304752300003	0.17400000000000002
mapk1_round2_gen3186	-11.19075	-8.46026085257	-1.1888278779199999	-1.53970111656	0.0
mapk1_round2_gen8738	-11.32416	-10.790350442900001	-1.86205764093	-1.32523301205	0.232
mapk1_round2_gen204659	-10.58458	-9.27331656098	-1.65956993631	-2.13116407371	0.232
mapk1_round2_gen29600	-11.23935	-10.189624953580001	-1.96579244431	-2.3705102198700003	0.29000000000000004
mapk1_round2_gen1341	-11.32373	-8.289888719170001	-1.7209575194300002	-1.31017695048	0.0
mapk1_round2_gen23960	-10.70966	-10.3248190224	-2.35478655956	-1.78445757591	0.34800000000000003
mapk1_round2_gen5776	-10.79434	-9.493486380119998	-1.3630657495900003	-0.57084384825	0.058
mapk1_round2_gen2089	-11.08261	-7.796222902559999	-1.5316964388500003	-1.7555614515000002	0.0
mapk1_round2_gen24071	-10.87016	-10.012245905779999	-1.08518004566	-2.3104974516300003	0.232
mapk1_round2_gen57440	-10.87797	-9.63369904366	-2.56312096786	-1.2200403103200002	0.232
mapk1_round2_gen58773	-11.06318	-7.95789550882	-1.6772240216	-2.71965458952	0.232
mapk1_round2_gen2871	-10.59722	-7.90528499967	-0.7587493771	-2.55301576839	0.17400000000000002
mapk1_round2_gen24594	-10.61938	-9.12261642529	-1.76566523408	-2.21575528971	0.232
mapk1_round2_gen7647	-11.02686	-7.81691108524	-1.3151323883200001	-2.21483301048	0.058
mapk1_round2_gen1820	-13.51467	-9.04691349597	-0.97301465468	-3.89570159313	0.116
mapk1_round2_gen11756	-11.43425	-11.09863339319	-1.6537148160700001	-2.69034725781	0.34800000000000003
mapk1_round2_gen3345	-11.48662	-7.992611049070001	-1.5805019661500002	-2.2517300540700003	0.058
mapk1_round2_gen39167	-11.25862	-7.07390061062	-2.0343737314	-2.8036642409100003	0.058
mapk1_round2_gen799399	-11.53825	-7.851781067379999	-1.5818913999300002	-2.77986121263	0.232
mapk1_round2_gen3291	-10.6918	-7.53026237381	-1.2669738840700002	-1.8913773483	0.058
mapk1_round2_gen370818	-10.60764	-11.31276623613	-2.33390437282	-1.3044200482800001	0.406
mapk1_round2_gen4120	-10.61763	-7.611189343529999	-1.11474987577	-1.89193541535	0.0
mapk1_round2_gen799703	-11.24373	-9.81799726572	-0.6640921843700001	-2.07794210031	0.232
mapk1_round2_gen305	-12.33205	-8.37969226926	-0.74252750977	-3.2113116605700003	0.0
mapk1_round2_gen6197	-11.19584	-8.644629368460002	-1.68636861404	-1.8492109768800002	0.116
mapk1_round2_gen18087	-10.68619	-10.405747217650001	-1.41743392167	-2.61742845474	0.34800000000000003
mapk1_round2_gen90013	-11.86781	-11.00735124105	-2.2506919482400005	-0.0	0.522
mapk1_round2_gen81466	-10.59683	-10.284208400859999	-1.87084452957	-1.2281234709600002	0.29000000000000004
mapk1_round2_gen71813	-10.76997	-10.481890415789998	-1.4527319222400001	-2.60787082221	0.34800000000000003
mapk1_round2_gen796665	-11.20959	-7.8479064015999995	-0.8012459913000001	-2.56133977902	0.0
mapk1_round2_gen5567	-11.15745	-8.6320801349	-1.8325172687800002	-1.3500170634600002	0.058
mapk1_round2_gen78805	-10.71336	-10.46412993899	-1.3133361541400002	-1.4403005633700001	0.232
mapk1_round2_gen2645	-10.76405	-7.81926286802	-0.7703779068100001	-2.1783412998000005	0.0
mapk1_round2_gen44598	-10.56094	-10.78989684924	-2.15141546683	-0.39665643597000005	0.29000000000000004
mapk1_round2_gen2602	-11.61887	-7.73833149827	-1.59870628405	-2.28026784069	0.0
mapk1_round2_gen12215	-10.79765	-9.762232604989999	-1.10113047893	-2.45911951863	0.232
mapk1_round2_gen567886	-14.53642	-10.982677275310001	-1.76858122143	-1.7905728159	0.5800000000000001
mapk1_round2_gen96724	-10.47005	-8.956697511459998	-2.34377594563	-0.40012820046	0.116
mapk1_round2_gen404455	-11.36656	-10.17794715318	-2.32363371479	-0.5295821328900001	0.522
mapk1_round2_gen2303	-11.0639	-8.23264163919	-1.60637622504	-1.5484950783900002	0.058
mapk1_round2_gen1533	-14.39905	-9.847329375929998	-1.30405900088	-3.2453126298900004	0.0
mapk1_round2_gen1776	-12.54662	-10.175301012270001	-1.8197125248100001	-2.7494259980400004	0.29000000000000004
mapk1_round2_gen92759	-11.14613	-9.56415265539	-1.32446635336	-0.58269836727	0.232
mapk1_round2_gen7938	-10.75013	-11.699148980109998	-1.90080046937	-0.92153318247	0.34800000000000003
mapk1_round2_gen26868	-10.72051	-11.53623347309	-1.7418074426900003	-1.2007253160000002	0.34800000000000003
mapk1_round2_gen569	-14.72678	-9.048657647479999	-0.9865533928200001	-4.69462450752	0.0
mapk1_round2_gen374645	-11.6099	-7.62728905945	-2.31802723376	-2.349756	0.34800000000000003
mapk1_round2_gen6834	-10.89537	-9.211033211270001	-1.3440082029200002	-1.6129665086400002	0.116
mapk1_round2_gen1648	-12.36154	-6.79999406431	-0.59542778375	-4.96441174266	0.0
mapk1_round2_gen49837	-10.59188	-8.85283238412	-1.26116330146	-3.25977537807	0.29000000000000004
mapk1_round2_gen4019	-10.55846	-7.79838833347	-0.9840866393600001	-2.08673018775	0.058
mapk1_round2_gen435845	-10.61402	-10.4780086967	-2.6078283318200004	-0.62969936166	0.29000000000000004
mapk1_round2_gen13927	-10.58027	-8.88310980737	-1.4830960652	-0.83090309355	0.058
mapk1_round2_gen57748	-11.26714	-10.7733575051	-2.2959099168400003	-0.8373942945	0.232
mapk1_round2_gen77227	-10.68972	-9.30274290618	-2.64126837677	-0.0	0.116
mapk1_round2_gen123165	-10.7347	-10.20100817194	-1.6254229003200003	-1.41649753509	0.232
mapk1_round2_gen4486	-11.27753	-9.11885152436	-1.9054215115000002	-1.5688439653500001	0.116
mapk1_round2_gen519	-11.22876	-7.697175372789999	-0.7623165957800001	-2.7712493568900003	0.0
mapk1_round2_gen208182	-11.98517	-9.90981556666	-1.8734526111000003	-0.90297598446	0.34800000000000003
mapk1_round2_gen592983	-10.77279	-9.39943219594	-1.76443115597	-0.86759453349	0.406
mapk1_round2_gen402637	-11.11661	-8.40866337291	-2.0115234723800004	-0.69585086745	0.17400000000000002
mapk1_round2_gen14139	-11.35374	-9.51783992141	-2.55423343119	-1.9391596365600001	0.232
mapk1_round2_gen10943	-11.27278	-10.60503682763	-2.2731532920500004	-1.03280000346	0.232
mapk1_round2_gen9589	-11.688	-10.65795057983	-1.9885967629400003	-1.7785185676200002	0.232
mapk1_round2_gen8467	-10.57561	-8.295977229420002	-1.6645546439700003	-3.0891948412500003	0.232
mapk1_round2_gen195541	-10.78946	-11.400379863140001	-1.54192326063	-0.99426400506	0.29000000000000004
mapk1_round2_gen798419	-12.05564	-9.16024561594	-1.7300642373500004	-1.16391051387	0.0
mapk1_round2_gen160994	-10.58099	-8.870274944510001	-2.5184977695	-1.35666099855	0.232
mapk1_round2_gen99115	-10.55837	-9.77964669955	-1.8107765929200001	-1.43757484641	0.232
mapk1_round2_gen6	-11.14025	-7.45281784127	-1.17628825559	-2.5113017250000005	0.17400000000000002
mapk1_round2_gen131008	-11.78979	-9.725734052409999	-1.25961079683	-0.80274714228	0.6960000000000001
mapk1_round2_gen7908	-10.9214	-10.0105463448	-1.6378254028600001	-0.54499653225	0.116
mapk1_round2_gen2291	-11.62864	-9.93188084059	-0.6263372496600002	-1.7519193297000002	0.232
mapk1_round2_gen6007	-11.39387	-8.68358976204	-1.7246359068400001	-2.31468001731	0.116
mapk1_round2_gen99037	-11.41535	-9.95454423359	-2.1377083974900004	-1.9945610086500003	0.232
mapk1_round2_gen25232	-10.92493	-10.087578122410001	-1.6445127104700001	-2.3806141706700004	0.29000000000000004
mapk1_round2_gen135561	-10.55765	-7.316722989730001	-1.7604932579600001	-3.6411290280900004	0.232
mapk1_round2_gen7895	-10.66912	-9.65038233991	-1.8674484476100002	-1.6515142558200002	0.232
mapk1_round2_gen789706	-11.08753	-12.308020589849999	-2.09700871885	-1.22368830651	0.406
mapk1_round2_gen790205	-11.48235	-11.6277516	-1.66374490076	-2.2220291382300004	0.34800000000000003
mapk1_round2_gen5194	-11.03452	-8.59303022996	-1.8777966081300002	-1.8553027193100002	0.116
mapk1_round2_gen65684	-10.76213	-10.931718928479999	-2.08197919752	-0.89863481025	0.29000000000000004
mapk1_round2_gen15915	-10.87922	-9.969679261989999	-2.24673265814	-2.16197524926	0.34800000000000003
mapk1_round2_gen786854	-10.57718	-9.80459172908	-2.24003027086	-1.6198865400600002	0.29000000000000004
mapk1_round2_gen799853	-11.33486	-7.6892635469199995	-1.15013449677	-2.8207234694700003	0.058
mapk1_round2_gen11242	-11.53876	-10.38146924627	-2.7263903084	-2.13860692584	0.34800000000000003
mapk1_round2_gen10089	-11.65033	-8.0868382884	-1.2349316894600002	-2.99497550004	0.058
mapk1_round2_gen371807	-11.05412	-9.860694436470002	-0.9111662649000001	-2.21683030308	0.17400000000000002
mapk1_round2_gen55325	-10.58485	-9.447753935359998	-1.35644682653	-2.8750968233100003	0.29000000000000004
mapk1_round2_gen2340	-12.03324	-8.89996827169	-1.3885332080800001	-1.74709058112	0.058
mapk1_round2_gen42033	-10.66934	-8.65774504723	-1.412509182	-0.5974019654400001	0.0
mapk1_round2_gen22359	-10.91511	-8.59639625127	-1.9603178227200002	-0.35554745475	0.0
mapk1_round2_gen419	-12.22208	-9.284727636629999	-1.0634811019100001	-1.8717862576500002	0.0
mapk1_round2_gen796815	-12.29475	-9.715791458350001	-0.70552445442	-1.8682968699900002	0.232
mapk1_round2_gen5059	-11.72275	-9.81935153631	-1.7762357320600002	-2.17937519244	0.17400000000000002
mapk1_round2_gen38397	-10.81705	-10.71928766746	-1.4942729061900002	-2.40108054543	0.34800000000000003
mapk1_round2_gen8920	-11.31207	-9.929068787219999	-1.90453496718	-2.45521892367	0.29000000000000004
