molecule_id	affinity	steric_sum	hydrophobic_value	hydrogen_value	wnrot
pkm2_round2_gen795706	-16.45929	-13.395370209819998	-5.57966797398	-4.224626312400001	0.406
pkm2_round2_gen2386	-17.54228	-14.52735680896	-5.93477421315	-2.20061698668	0.29000000000000004
pkm2_round2_gen19376	-16.90319	-13.430142332510002	-4.86771958014	-2.557121967	0.232
pkm2_round2_gen793356	-18.98889	-15.32956321504	-6.062296669920001	-3.14487230967	0.29000000000000004
pkm2_round2_gen18247	-16.28285	-12.632225760609998	-4.50785412698	-2.95109968113	0.232
pkm2_round2_gen6479	-16.33393	-13.450920691879999	-4.588264538460001	-4.0209612111	0.34800000000000003
pkm2_round2_gen72235	-16.86637	-17.535784721829998	-6.501201687350001	-2.69494103079	0.5800000000000001
pkm2_round2_gen30503	-16.38605	-15.212876568799997	-4.997318121710001	-0.9648861806700001	0.29000000000000004
pkm2_round2_gen5235	-16.82428	-12.261856605630001	-5.75401000058	-2.7409081325400004	0.232
pkm2_round2_gen408786	-16.81837	-12.90777285211	-5.635470117470001	-3.1977535684500005	0.29000000000000004
pkm2_round2_gen4870	-16.75344	-12.86513304508	-4.89712704078	-3.89206534572	0.29000000000000004
pkm2_round2_gen23545	-16.43095	-16.04187987505	-6.61798812046	-0.49180980519000006	0.522
pkm2_round2_gen7326	-16.41474	-13.312283508639998	-4.961338379780001	-2.9391629206500003	0.29000000000000004
pkm2_round2_gen899	-16.98142	-14.69738970805	-4.53772029014	-2.71294016175	0.29000000000000004
pkm2_round2_gen387	-17.31328	-13.096758279700001	-5.270635387010001	-4.011145105410001	0.29000000000000004
pkm2_round2_gen1132	-16.58968	-12.354543986300001	-5.720973599820001	-4.331463843330001	0.34800000000000003
pkm2_round2_gen4770	-16.63528	-14.28049059756	-5.010578762680001	-2.20775437053	0.29000000000000004
pkm2_round2_gen792131	-16.52835	-13.380710728119999	-5.13570144778	-3.8042373408300003	0.34800000000000003
pkm2_round2_gen795079	-17.84351	-12.747100173309999	-6.135093952190001	-3.13895092455	0.232
pkm2_round2_gen165775	-16.77745	-12.84323447796	-6.299176192150001	-2.5300057827600004	0.29000000000000004
pkm2_round2_gen35192	-16.4917	-11.363909967289999	-5.3418468491	-4.60158004431	0.29000000000000004
pkm2_round2_gen734560	-18.08776	-16.57045161731	-5.57069416757	-3.3508519206300007	0.406
pkm2_round2_gen346	-16.64976	-12.074163728990001	-5.230027238460001	-3.24164113614	0.232
pkm2_round2_gen39318	-16.28978	-14.39374980879	-5.26548620574	-1.39327019703	0.29000000000000004
pkm2_round2_gen769102	-16.66863	-13.313470183700002	-6.48248957033	-3.6948620734200004	0.406
pkm2_round2_gen3096	-17.33531	-15.79630005516	-6.607824072190001	-2.03313812778	0.406
pkm2_round2_gen4365	-16.24405	-15.7445146297	-6.32894275935	-1.7597028964500003	0.464
pkm2_round2_gen1118	-17.38748	-15.04349838492	-5.15025227726	-3.29413468518	0.34800000000000003
pkm2_round2_gen118833	-16.3038	-16.089141559299996	-5.545238983230001	-2.2858367624100002	0.464
pkm2_round2_gen799664	-18.2823	-13.89404591216	-5.40489915765	-4.332838450590001	0.29000000000000004
pkm2_round2_gen17692	-16.35799	-15.890235214869996	-5.44642436055	-0.7646223511800001	0.34800000000000003
pkm2_round2_gen577	-17.04317	-12.680516228830001	-4.6803858918	-3.6616952674800003	0.232
pkm2_round2_gen2572	-16.51687	-13.490365115549999	-4.931157998380001	-2.9289884771700003	0.29000000000000004
pkm2_round2_gen44220	-16.76802	-14.848773347869997	-5.2525408350800005	-2.5477288173900003	0.34800000000000003
pkm2_round2_gen77486	-16.45751	-12.891201592069999	-3.8730519221	-2.58017307336	0.17400000000000002
pkm2_round2_gen8917	-16.64749	-14.067952922769999	-5.259084710480001	-1.2111229863000001	0.232
pkm2_round2_gen989	-17.97967	-13.522026599550001	-6.6458315037	-3.0574437633000002	0.29000000000000004
pkm2_round2_gen5076	-17.96492	-16.208132361669996	-6.405336016880001	-2.70955063872	0.406
pkm2_round2_gen676963	-17.29395	-15.669871354109997	-3.71566715976	-2.96153847216	0.29000000000000004
pkm2_round2_gen4004	-16.40703	-11.431939037800003	-3.45992226898	-5.353919046000001	0.232
pkm2_round2_gen4120	-16.96515	-13.33437380055	-5.49729089298	-2.1018802395600003	0.232
pkm2_round2_gen12788	-17.0602	-12.467696585480002	-5.614760820900001	-3.9568363698600004	0.29000000000000004
pkm2_round2_gen2696	-16.58075	-13.806255122510002	-4.74240156071	-2.88058350357	0.29000000000000004
pkm2_round2_gen2317	-16.95499	-14.756493279149998	-4.86015940512	-2.29542964128	0.29000000000000004
pkm2_round2_gen797978	-17.2614	-15.099240414499999	-5.483015004460001	-2.73055158297	0.34800000000000003
pkm2_round2_gen35209	-16.60851	-16.04089449566	-4.55492899913	-2.8117180296000006	0.406
pkm2_round2_gen33615	-16.39468	-14.39243547569	-5.708118707180001	-2.04859364787	0.34800000000000003
pkm2_round2_gen1245	-16.7427	-12.9377875104	-4.905979508450001	-3.8012179043700005	0.29000000000000004
pkm2_round2_gen30317	-17.3134	-13.689290866259999	-4.85498953314	-2.82621014973	0.232
pkm2_round2_gen543	-16.56523	-11.746913255099999	-5.04926407796	-4.61836905093	0.29000000000000004
